Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
966,Middle Tennessee State University,"Research University, Sober School, For Sports Fans, State School","$58,000 ","$95,700 ",52%,12%
966,Fort Lewis College,"Liberal Arts School, State School","$57,600 ","$95,700 ",57%,16%
966,Washburn University,State School,"$57,400 ","$95,700 ",53%,4%
966,Union College (Kentucky),"Private School, Religious","$46,600 ","$95,700 ",48%,3%
966,University of Southern Maine,State School,"$58,700 ","$95,700 ",53%,7%
973,Alderson Broaddus University,"Private School, Religious","$58,200 ","$95,600 ",60%,10%
973,Shenandoah University,"Private School, Religious, Research University","$61,300 ","$95,600 ",61%,7%
973,The College of Saint Scholastica,"Private School, Religious","$66,600 ","$95,600 ",65%,8%
973,Montana State University-Northern,State School,"$57,800 ","$95,600 ",57%,1%
977,Wells College,"Liberal Arts School, Private School","$56,700 ","$95,500 ",51%,19%
977,University of Arkansas at Little Rock,"Research University, For Sports Fans, State School","$57,900 ","$95,500 ",56%,14%
977,American International College,"Private School, Research University","$66,000 ","$95,500 ",64%,0%
980,Southern Nazarene University,"Private School, Religious","$57,100 ","$95,400 ",61%,5%
980,Kutztown University of Pennsylvania,State School,"$55,200 ","$95,400 ",47%,11%
980,Goddard College,Private School,"$58,200 ","$95,400 ",-,0%
980,Concordia University-Wisconsin,"Private School, Religious","$58,200 ","$95,400 ",57%,5%
980,Goshen College,"Private School, Religious","$54,000 ","$95,400 ",69%,13%
985,Western Oregon University,State School,"$56,200 ","$95,200 ",54%,7%
986,Lake Erie College,Private School,"$51,100 ","$95,100 ",46%,9%
986,Piedmont University,"Private School, Religious","$51,600 ","$95,100 ",43%,1%
986,Indiana Wesleyan University-Marion,"Private School, Religious","$57,900 ","$95,100 ",59%,8%
989,Virginia State University,State School,"$57,200 ","$95,000 ",62%,18%
989,Delaware State University,"For Sports Fans, State School","$55,900 ","$95,000 ",60%,14%
991,Southeastern Oklahoma State University,State School,"$54,700 ","$94,900 ",56%,7%
991,CUNY Lehman College,State School,"$59,700 ","$94,900 ",57%,10%
991,University of Wisconsin-River Falls,State School,"$58,600 ","$94,900 ",54%,13%
991,Union University,"Private School, Religious, Research University","$57,700 ","$94,900 ",58%,6%
991,Albertus Magnus College,"Private School, Religious","$63,200 ","$94,900 ",52%,2%
996,Texas A&M University-Texarkana,State School,"$50,100 ","$94,800 ",60%,12%
996,Ouachita Baptist University,"Liberal Arts School, Private School, Religious","$52,500 ","$94,800 ",59%,16%
996,Auburn University at Montgomery,State School,"$56,400 ","$94,800 ",58%,19%
999,Kent State University at Stark,State School,"$52,800 ","$94,700 ",-,1%
999,University of Charleston,"Business, Private School","$55,200 ","$94,700 ",55%,3%
999,Hope International University,"Private School, Religious","$51,800 ","$94,700 ",47%,0%
999,Lake Superior State University,State School,"$56,700 ","$94,700 ",56%,19%
1003,Nyack College,"Private School, Religious","$58,600 ","$94,600 ",59%,1%
1003,University of South Alabama,"Research University, For Sports Fans, State School","$58,400 ","$94,600 ",56%,14%
1003,Western Colorado University,State School,"$59,600 ","$94,600 ",60%,17%
1003,Southern Connecticut State University,State School,"$60,300 ","$94,600 ",49%,8%
1003,Bemidji State University,State School,"$59,100 ","$94,600 ",49%,8%
1008,Eastern University,"Private School, Religious","$54,500 ","$94,500 ",60%,4%
1008,Lock Haven University,State School,"$52,400 ","$94,500 ",54%,8%
1008,Caldwell University,"Private School, Religious","$52,400 ","$94,500 ",63%,9%
1008,Texas Woman's University,"Research University, State School","$57,200 ","$94,500 ",67%,5%
1012,Ashland University,"Private School, Religious, Research University","$56,200 ","$94,400 ",53%,5%
1012,Northcentral University,"Private School, Research University","$57,300 ","$94,400 ",-,3%
1012,Angelo State University,State School,"$59,000 ","$94,400 ",60%,10%
1012,Indiana University-Kokomo,State School,"$53,600 ","$94,400 ",58%,4%
1016,Saint Elizabeth University,"Private School, Religious","$61,100 ","$94,300 ",62%,4%
1016,University of Pittsburgh-Bradford,State School,"$51,300 ","$94,300 ",39%,21%
1016,Aurora University,Private School,"$58,700 ","$94,300 ",55%,3%
1016,Fresno Pacific University,"Private School, Religious","$56,700 ","$94,300 ",59%,1%
1016,Southeast Missouri State University,"For Sports Fans, State School","$53,600 ","$94,300 ",53%,13%
1016,University of Southern Mississippi,"Research University, For Sports Fans, State School","$54,000 ","$94,300 ",55%,10%
1022,Antioch University-Los Angeles,Private School,"$60,200 ","$94,200 ",-,0%
1022,Point Park University,Private School,"$54,400 ","$94,200 ",43%,4%
1022,Olivet College,"Private School, Religious","$53,800 ","$94,200 ",53%,12%
1025,Bellevue College,State School,"$65,200 ","$94,100 ",53%,11%
1025,Lubbock Christian University,"Private School, Religious","$56,400 ","$94,100 ",62%,7%
1025,Daytona State College,State School,"$53,400 ","$94,100 ",66%,3%
1025,North Park University,"Private School, Religious","$57,300 ","$94,100 ",54%,6%
1025,Westfield State University,State School,"$59,100 ","$94,100 ",49%,7%
1030,Chatham University,Private School,"$52,100 ","$94,000 ",48%,13%
1030,University of Virginia's College at Wise,"Liberal Arts School, State School","$56,000 ","$94,000 ",49%,6%
1030,University of the Virgin Islands,State School,"$52,500 ","$94,000 ",-,16%
1030,Eureka College,"Private School, Religious","$54,300 ","$94,000 ",55%,6%
1030,Jacksonville State University,"For Sports Fans, State School","$54,100 ","$94,000 ",61%,8%
1030,Southwestern College (Kansas),"Private School, Religious","$60,000 ","$94,000 ",63%,16%
1036,Russell Sage College,Private School,"$53,400 ","$93,900 ",62%,4%
1036,Winthrop University,"For Sports Fans, State School","$54,200 ","$93,900 ",54%,10%
1036,University of South Carolina-Upstate,"For Sports Fans, State School","$56,700 ","$93,900 ",45%,14%
1036,Emporia State University,State School,"$53,600 ","$93,900 ",61%,6%
1040,Heidelberg University,"Private School, Religious","$55,800 ","$93,800 ",38%,7%
1040,Columbus State University,State School,"$52,100 ","$93,800 ",56%,11%
1040,Saginaw Valley State University,State School,"$57,400 ","$93,800 ",53%,12%
1040,Spalding University,"Private School, Religious, Research University","$57,500 ","$93,800 ",77%,0%
1044,Defiance College,"Private School, Religious","$49,300 ","$93,700 ",63%,9%
1044,Roberts Wesleyan College,"Private School, Religious","$58,100 ","$93,700 ",61%,4%
1044,Wisconsin Lutheran College,"Private School, Religious","$61,800 ","$93,700 ",55%,12%
1044,Georgia College & State University,State School,"$56,500 ","$93,700 ",49%,10%
1044,Covenant College,"Liberal Arts School, Private School, Religious","$56,100 ","$93,700 ",65%,20%
1049,Northeastern State University,State School,"$55,400 ","$93,600 ",59%,8%
1049,Cardinal Stritch University,"Private School, Religious, Research University","$59,000 ","$93,600 ",55%,3%
1049,Pennsylvania College of Technology,State School,"$65,000 ","$93,600 ",50%,10%
1049,University of Sioux Falls,"Private School, Religious","$55,500 ","$93,600 ",65%,4%
1049,Dominican University,"Private School, Religious","$59,800 ","$93,600 ",48%,8%
1054,Mount Vernon Nazarene University,"Private School, Religious","$53,600 ","$93,500 ",52%,8%
1054,SUNY Empire State College,State School,"$57,800 ","$93,500 ",62%,7%
1054,The University of the Arts,"Art, Private School","$59,200 ","$93,500 ",35%,0%
1054,Francis Marion University,State School,"$54,900 ","$93,500 ",56%,13%
1054,Southeastern University,"Private School, Religious","$51,200 ","$93,500 ",64%,1%
1054,Lakeview College of Nursing,Private School,"$66,000 ","$93,500 ",-,0%
1060,Saint Francis Medical Center College of Nursing,"Private School, Religious","$66,400 ","$93,400 ",70%,0%
1060,Oakland City University,"Private School, Religious","$50,400 ","$93,400 ",47%,3%
1060,Chadron State College,State School,"$51,400 ","$93,400 ",62%,3%
1060,Missouri Western State University,State School,"$52,800 ","$93,400 ",60%,8%
1064,Inter American University of Puerto Rico-San German,Private School,"$52,800 ","$93,300 ",73%,28%
1064,Clark Atlanta University,"Private School, Religious, Research University","$56,600 ","$93,300 ",55%,17%
1064,Clarkson College,"Private School, Religious","$64,500 ","$93,300 ",86%,0%
1064,Avila University,"Private School, Religious","$54,700 ","$93,300 ",66%,9%
1068,SUNY at Fredonia,State School,"$54,600 ","$93,200 ",45%,10%
1068,Howard Payne University,"Private School, Religious","$54,800 ","$93,200 ",54%,7%
1068,Arkansas State University,"For Sports Fans, State School","$54,500 ","$93,200 ",57%,5%
1068,College of Our Lady of the Elms,"Private School, Religious","$58,400 ","$93,200 ",54%,16%
1068,Drury University,"Private School, Religious","$53,300 ","$93,200 ",56%,24%
1073,Oklahoma Wesleyan University,"Private School, Religious","$53,700 ","$93,100 ",59%,4%
1073,Multnomah University,Private School,"$48,600 ","$93,100 ",72%,2%
1073,Johnson & Wales University-Providence,Private School,"$57,700 ","$93,100 ",43%,6%
1073,Hardin-Simmons University,"Private School, Religious","$58,400 ","$93,100 ",63%,9%
1073,Clarke University,"Private School, Religious","$57,100 ","$93,100 ",53%,9%
1078,Ohio Dominican University,"Private School, Religious","$56,600 ","$93,000 ",59%,10%
1078,Marshall University,"For Sports Fans, State School","$54,900 ","$93,000 ",54%,11%
1080,Misericordia University,"Private School, Religious","$58,300 ","$92,900 ",64%,5%
1080,Herzing University-Brookfield,Private School,"$63,200 ","$92,900 ",-,1%
1080,Pontifical Catholic University of Puerto Rico-Ponce,"Private School, Religious, Research University","$50,600 ","$92,900 ",57%,20%
1080,California Baptist University,"Private School, Religious","$61,000 ","$92,900 ",57%,12%
1080,College of Saint Mary,"Private School, Religious","$57,200 ","$92,900 ",42%,2%
1080,Lindenwood University,"Private School, Research University","$57,800 ","$92,900 ",45%,9%
1086,Eastern New Mexico University-Main Campus,State School,"$53,700 ","$92,800 ",60%,4%
1086,Lyon College,"Liberal Arts School, Private School, Religious","$55,400 ","$92,800 ",60%,28%
1086,Kansas City Art Institute,"Art, Private School","$53,000 ","$92,800 ",33%,0%
1086,Maryville University of Saint Louis,"Private School, Research University","$58,000 ","$92,800 ",56%,4%
1086,Cambridge College,Private School,"$51,400 ","$92,800 ",71%,0%
1091,Missouri Southern State University,State School,"$55,500 ","$92,700 ",63%,10%
1092,Everglades University,Private School,"$55,900 ","$92,600 ",61%,0%
1092,Dakota Wesleyan University,"Private School, Religious","$55,000 ","$92,600 ",-,5%
1092,Southern New Hampshire University,Private School,"$59,600 ","$92,600 ",55%,8%
1095,Texas Wesleyan University,"Private School, Religious","$52,100 ","$92,500 ",67%,6%
1096,Cedar Crest College,Private School,"$59,900 ","$92,400 ",63%,8%
1096,Fisk University,"Liberal Arts School, Private School","$55,000 ","$92,400 ",62%,37%
1096,Texas Southern University,"Research University, For Sports Fans, State School","$57,100 ","$92,400 ",62%,15%
1096,Illinois College,"Liberal Arts School, Private School, Religious","$55,700 ","$92,400 ",57%,20%
1096,Eastern Kentucky University,"For Sports Fans, State School","$55,400 ","$92,400 ",58%,6%
1101,Georgian Court University,"Private School, Religious","$52,300 ","$92,300 ",52%,4%
1101,Virginia Wesleyan University,"Liberal Arts School, Private School, Religious","$56,900 ","$92,300 ",56%,11%
1101,Clayton State University,State School,"$58,300 ","$92,300 ",54%,8%
1101,Flagler College,Private School,"$51,700 ","$92,300 ",42%,0%
1101,Grace College and Theological Seminary,"Private School, Religious","$54,100 ","$92,300 ",63%,2%
1101,Northern Michigan University,State School,"$55,200 ","$92,300 ",53%,10%
1107,Geneva College,"Private School, Religious","$59,100 ","$92,200 ",63%,27%
1107,Morgan State University,"Research University, For Sports Fans, State School","$63,100 ","$92,200 ",58%,26%
1109,Ringling College of Art and Design,"Art, Private School","$61,900 ","$92,100 ",36%,0%
1109,Henderson State University,State School,"$52,300 ","$92,100 ",56%,5%
1109,Colorado Mesa University,State School,"$59,000 ","$92,100 ",61%,8%
1112,LaGrange College,"Liberal Arts School, Private School, Religious","$51,000 ","$92,000 ",58%,7%
1112,Troy University,"For Sports Fans, State School","$55,000 ","$92,000 ",59%,7%
1112,Upper Iowa University,Private School,"$54,700 ","$92,000 ",54%,2%
1115,The University of Texas Rio Grande Valley,"Research University, For Sports Fans, State School","$55,600 ","$91,900 ",68%,19%
1115,Kentucky Wesleyan College,"Private School, Religious","$50,900 ","$91,900 ",66%,17%
1117,St. Thomas University,"Private School, Religious","$56,000 ","$91,800 ",52%,4%
1117,Palm Beach Atlantic University,"Private School, Religious","$56,200 ","$91,800 ",58%,6%
1117,Fort Hays State University,State School,"$55,900 ","$91,800 ",61%,7%
1120,Wilberforce University,"Private School, Religious","$51,300 ","$91,700 ",61%,14%
1120,Wingate University,Private School,"$51,100 ","$91,700 ",52%,11%
1120,CUNY Medgar Evers College,State School,"$59,300 ","$91,700 ",67%,38%
1120,Dixie State University,State School,"$57,100 ","$91,700 ",55%,6%
1120,Wayland Baptist University,"Private School, Religious","$57,300 ","$91,700 ",59%,1%
1120,University of Saint Francis-Fort Wayne,"Private School, Religious","$55,900 ","$91,700 ",65%,5%
1120,University of Michigan-Flint,State School,"$56,700 ","$91,700 ",54%,12%
1120,Nebraska Wesleyan University,"Private School, Religious","$57,000 ","$91,700 ",70%,13%
1128,Mercyhurst University,"Private School, Religious","$57,700 ","$91,600 ",36%,9%
1128,Florida Institute of Technology-Online,"Business, Private School","$55,600 ","$91,600 ",56%,11%
1128,Inter American University of Puerto Rico-Bayamon,Private School,"$60,800 ","$91,600 ",76%,35%
1131,Mount Marty University,"Private School, Religious","$54,300 ","$91,500 ",47%,1%
1131,University of Houston-Victoria,State School,"$57,600 ","$91,500 ",58%,9%
1133,Guilford College,"Liberal Arts School, Private School, Religious","$52,600 ","$91,400 ",49%,25%
1133,Viterbo University,"Private School, Religious","$57,000 ","$91,400 ",56%,1%
1133,Newberry College,"Private School, Religious","$51,300 ","$91,400 ",54%,11%
1133,Texas A & M International University,State School,"$50,300 ","$91,400 ",68%,10%
1137,Ottawa University-Milwaukee,"Private School, Religious","$56,000 ","$91,300 ",69%,25%
1137,Austin Peay State University,"For Sports Fans, State School","$54,500 ","$91,300 ",60%,8%
1137,Husson University,Private School,"$52,400 ","$91,300 ",51%,2%
1137,University of Northwestern-St Paul,"Private School, Religious","$58,600 ","$91,300 ",62%,11%
1141,University of Mary,"Private School, Religious","$58,300 ","$91,200 ",69%,7%
1141,Peirce College,Private School,"$55,600 ","$91,200 ",47%,11%
1141,University of Arkansas for Medical Sciences,State School,"$62,800 ","$91,200 ",92%,3%
1141,Fisher College,Private School,"$55,600 ","$91,200 ",56%,3%
1145,Los Angeles Pacific University,"Private School, Religious","$57,800 ","$91,000 ",-,0%
1145,East Texas Baptist University,"Private School, Religious","$53,700 ","$91,000 ",63%,1%
1147,Malone University,"Private School, Religious","$56,000 ","$90,900 ",52%,6%
1147,Warren Wilson College,"Liberal Arts School, Private School","$47,200 ","$90,900 ",56%,8%
1147,Montreat College,"Private School, Religious","$53,000 ","$90,900 ",66%,8%
1147,Concordia University-Chicago,"Private School, Religious","$52,500 ","$90,900 ",60%,1%
1147,Humphreys University-Stockton and Modesto Campuses,Private School,"$54,200 ","$90,900 ",71%,0%
1152,University of South Carolina Aiken,State School,"$51,500 ","$90,800 ",55%,14%
1152,Southwestern Adventist University,"Private School, Religious","$52,300 ","$90,800 ",67%,11%
1152,William Jessup University,"Private School, Religious","$54,000 ","$90,800 ",68%,6%
1152,Brescia University,"Private School, Religious","$49,600 ","$90,800 ",-,5%
1156,Bennett College,"Private School, Religious","$51,000 ","$90,700 ",-,22%
1156,SUNY College of Agriculture and Technology at Cobleskill,State School,"$49,700 ","$90,700 ",49%,7%
1156,Warner University,"Private School, Religious","$50,900 ","$90,700 ",63%,4%
1156,University of Southern Indiana,State School,"$56,000 ","$90,700 ",54%,10%
1156,Hood College,Private School,"$58,900 ","$90,700 ",41%,32%
1161,Nazareth College,Private School,"$52,600 ","$90,600 ",45%,4%
1161,University of Guam,State School,"$55,200 ","$90,600 ",-,14%
1161,Northwestern State University of Louisiana,"For Sports Fans, State School","$54,200 ","$90,600 ",62%,6%
1164,Brenau University,Private School,"$56,400 ","$90,500 ",61%,1%
1164,Thomas College,"Business, Private School","$56,600 ","$90,500 ",59%,8%
1166,Northwestern Oklahoma State University,State School,"$52,000 ","$90,400 ",59%,12%
1166,Antioch University,Private School,"$49,700 ","$90,400 ",56%,0%
1166,University of Dubuque,"Private School, Religious","$54,800 ","$90,400 ",52%,9%
1169,Emory & Henry College,"Liberal Arts School, Private School, Religious","$50,700 ","$90,300 ",53%,7%
1169,Stephens College,Private School,"$54,000 ","$90,300 ",47%,4%
1171,SUNY Buffalo State,State School,"$53,700 ","$90,200 ",50%,7%
1171,Hollins University,"Liberal Arts School, Private School","$49,800 ","$90,200 ",55%,12%
1171,University of the Incarnate Word,"Private School, Religious, For Sports Fans","$57,400 ","$90,200 ",62%,8%
1174,California University of Pennsylvania,State School,"$55,200 ","$90,100 ",43%,7%
1174,Midland College,State School,"$55,000 ","$90,100 ",-,2%
1174,Mississippi College,"Private School, Religious","$53,900 ","$90,100 ",56%,18%
1174,Massachusetts College of Liberal Arts,"Liberal Arts School, State School","$55,400 ","$90,100 ",53%,12%
1178,Ursuline College,"Private School, Religious","$55,900 ","$89,900 ",57%,2%
1178,MidAmerica Nazarene University,"Private School, Religious","$60,100 ","$89,900 ",58%,3%
1180,Alverno College,"Private School, Religious","$54,100 ","$89,800 ",60%,2%
1180,Milwaukee Institute of Art & Design,"Art, Private School","$54,900 ","$89,800 ",35%,0%
1180,Coastal Carolina University,"For Sports Fans, State School","$55,100 ","$89,800 ",49%,14%
1180,Indiana University-South Bend,State School,"$55,800 ","$89,800 ",45%,7%
1184,Athens State University,State School,"$57,100 ","$89,700 ",52%,6%
1185,West Liberty University,State School,"$52,900 ","$89,600 ",51%,14%
1185,Fairmont State University,State School,"$51,600 ","$89,600 ",51%,9%
1185,Seton Hill University,"Private School, Religious","$54,600 ","$89,600 ",55%,12%
1185,University of the Ozarks,"Private School, Religious","$54,200 ","$89,600 ",57%,14%
1185,Kansas Wesleyan University,"Private School, Religious","$54,200 ","$89,600 ",61%,9%
1190,Tiffin University,Private School,"$54,000 ","$89,500 ",49%,2%
1190,Southern Adventist University,"Private School, Religious","$57,200 ","$89,500 ",69%,12%
1190,Southern Arkansas University Main Campus,State School,"$50,600 ","$89,500 ",58%,15%
1193,Oklahoma Baptist University,"Private School, Religious","$52,600 ","$89,400 ",67%,11%
1193,Meredith College,"Liberal Arts School, Private School","$54,900 ","$89,400 ",48%,14%
1193,Charleston Southern University,"Private School, Religious, For Sports Fans","$51,800 ","$89,400 ",61%,11%
1193,Siena Heights University,"Private School, Religious","$54,000 ","$89,400 ",57%,5%
1197,Johnson & Wales University-Online,"Business, Private School","$54,900 ","$89,300 ",44%,0%
1197,Florida SouthWestern State College,State School,"$53,000 ","$89,300 ",-,2%
1197,Montana State University Billings,State School,"$53,000 ","$89,300 ",61%,5%
1200,University of Wisconsin-Green Bay,"For Sports Fans, State School","$56,000 ","$89,200 ",46%,7%
1200,Thiel College,"Liberal Arts School, Private School, Religious","$49,100 ","$89,200 ",51%,18%
1200,Southwestern Assemblies of God University,"Private School, Religious","$50,400 ","$89,200 ",71%,0%
1200,Adrian College,"Private School, Religious","$52,400 ","$89,200 ",54%,11%
1204,University of North Carolina at Greensboro,"Research University, For Sports Fans, State School","$53,900 ","$89,100 ",51%,12%
1204,Bastyr University,Private School,"$58,700 ","$89,100 ",64%,0%
1204,Huston-Tillotson University,"Private School, Religious","$51,200 ","$89,100 ",-,12%
1207,Columbus College of Art and Design,"Art, Private School","$55,300 ","$89,000 ",35%,0%
1207,Bluffton University,"Private School, Religious","$53,400 ","$89,000 ",56%,6%
1207,Oklahoma Panhandle State University,State School,"$51,800 ","$89,000 ",65%,9%
1207,SUNY College of Technology at Canton,State School,"$50,400 ","$89,000 ",61%,5%
1207,Arkansas Tech University,State School,"$55,400 ","$89,000 ",58%,8%
1207,Midwestern Baptist Theological Seminary,"Private School, Religious","$48,100 ","$89,000 ",-,0%
1207,Iowa Wesleyan University,"Private School, Religious","$52,500 ","$89,000 ",72%,11%
1207,Mount Mercy University,"Private School, Religious","$61,000 ","$89,000 ",57%,4%
1215,Belmont Abbey College,"Private School, Religious","$56,800 ","$88,900 ",57%,11%
1215,Anderson University (Indiana),"Private School, Religious","$57,100 ","$88,900 ",62%,8%
1215,Marian University (Indiana),"Private School, Religious","$60,900 ","$88,900 ",55%,9%
1215,Baker College,Private School,"$57,300 ","$88,900 ",44%,10%
1215,Missouri Baptist University,"Private School, Religious","$54,000 ","$88,900 ",54%,3%
1220,Lincoln University (Pennsylvania),State School,"$60,200 ","$88,800 ",80%,16%
1220,University of Hawaii-West Oahu,State School,"$52,700 ","$88,800 ",55%,0%
1222,Notre Dame College,"Private School, Religious","$53,900 ","$88,700 ",54%,8%
1222,Granite State College,State School,"$55,600 ","$88,700 ",62%,3%
1222,Shorter University,"Private School, Religious","$53,100 ","$88,700 ",58%,8%
1222,College of the Ozarks,"Private School, Religious, Sober School","$49,300 ","$88,700 ",52%,10%
1222,Dillard University,"Liberal Arts School, Private School, Religious","$53,900 ","$88,700 ",79%,23%
1227,Valencia College,State School,"$58,900 ","$88,600 ",75%,6%
1227,Gallaudet University,Private School,"$51,100 ","$88,600 ",78%,7%
1229,Western Carolina University,"For Sports Fans, State School","$55,600 ","$88,400 ",54%,8%
1229,East Tennessee State University,"Research University, For Sports Fans, State School","$52,700 ","$88,400 ",57%,8%
1231,Northern State University,State School,"$52,500 ","$88,300 ",54%,8%
1231,Texas Lutheran University,"Private School, Religious","$56,400 ","$88,300 ",58%,12%
1231,San Diego Christian College,"Private School, Religious","$56,100 ","$88,300 ",-,2%
1231,Oakwood University,"Private School, Religious","$55,200 ","$88,300 ",73%,21%
1231,Central Methodist University-College of Liberal Arts and Sciences,"Private School, Religious","$55,000 ","$88,300 ",68%,20%
1236,Tennessee State University,"Research University, For Sports Fans, State School","$58,400 ","$88,200 ",66%,14%
1236,Columbia College (Missouri),"Private School, Religious","$55,700 ","$88,200 ",57%,3%
1236,Grand View University,"Private School, Religious","$55,900 ","$88,200 ",53%,7%
1236,Morningside University,"Private School, Religious","$55,400 ","$88,200 ",54%,7%
1240,University of North Carolina at Asheville,"Liberal Arts School, For Sports Fans, State School","$54,600 ","$88,100 ",46%,20%
1240,Schreiner University,"Liberal Arts School, Private School, Religious","$50,400 ","$88,100 ",52%,13%
1240,Southwest Minnesota State University,State School,"$55,500 ","$88,100 ",51%,5%
1240,Bethany College (Kansas),"Private School, Religious","$44,900 ","$88,100 ",60%,18%
1244,Lourdes University,"Private School, Religious","$56,500 ","$88,000 ",62%,4%
1244,Western New Mexico University,State School,"$54,300 ","$88,000 ",74%,4%
1246,Bluefield State College,State School,"$59,600 ","$87,900 ",58%,1%
1247,Indiana University-Northwest,State School,"$52,700 ","$87,800 ",53%,7%
1247,Coppin State University,"For Sports Fans, State School","$55,900 ","$87,800 ",69%,7%
1249,Our Lady of the Lake University,"Private School, Religious","$52,600 ","$87,700 ",65%,4%
1250,East Central University,State School,"$53,300 ","$87,600 ",71%,13%
1250,North Carolina Wesleyan College,"Business, Private School, Religious","$53,300 ","$87,600 ",60%,11%
1250,Catawba College,Private School,"$52,300 ","$87,600 ",57%,13%
1250,Eastern Mennonite University,"Private School, Religious","$53,700 ","$87,600 ",74%,8%
1250,Southern Wesleyan University,"Private School, Religious","$53,300 ","$87,600 ",61%,7%
1250,Miami Dade College,State School,"$57,000 ","$87,600 ",63%,3%
1250,Louisiana State University-Shreveport,"Business, State School","$55,400 ","$87,600 ",67%,3%
1257,Keuka College,Private School,"$53,000 ","$87,500 ",67%,3%
1257,Houghton College,"Liberal Arts School, Private School, Religious","$53,600 ","$87,500 ",54%,22%
1257,Glenville State University,State School,"$50,500 ","$87,500 ",60%,3%
1257,Arizona Christian University,"Private School, Religious","$54,800 ","$87,500 ",64%,9%
1257,Louisiana College,"Private School, Religious","$53,700 ","$87,500 ",67%,7%
1262,State College of Florida-Manatee-Sarasota,State School,"$60,000 ","$87,400 ",72%,6%
1263,Greensboro College,"Private School, Religious","$57,000 ","$87,300 ",57%,5%
1263,Huntingdon College,"Private School, Religious","$49,200 ","$87,300 ",71%,16%
1265,Georgia Gwinnett College,State School,"$56,500 ","$87,200 ",40%,25%
1265,College of Central Florida,State School,"$51,100 ","$87,200 ",76%,5%
1265,Wilmington University,"Private School, Research University","$58,500 ","$87,200 ",50%,13%
1268,Inter American University of Puerto Rico-Metro,"Private School, Research University","$53,700 ","$87,100 ",73%,15%
1269,Mansfield University of Pennsylvania,State School,"$52,200 ","$87,000 ",54%,13%
1269,Alvernia University,"Private School, Religious","$53,700 ","$87,000 ",51%,3%
1269,University of Pittsburgh-Greensburg,"Liberal Arts School, State School","$53,700 ","$87,000 ",41%,29%
1269,Chicago State University,"For Sports Fans, State School","$53,000 ","$87,000 ",62%,10%
1269,Judson University,"Private School, Religious","$53,200 ","$87,000 ",60%,4%
1269,University of West Alabama,State School,"$54,100 ","$87,000 ",60%,2%
1269,Faulkner University,"Business, Private School, Religious","$48,200 ","$87,000 ",61%,1%
1276,Rogers State University,State School,"$52,300 ","$86,900 ",44%,10%
1276,Tusculum University,"Private School, Religious","$49,400 ","$86,900 ",64%,3%
1276,Santa Fe College,State School,"$57,500 ","$86,900 ",75%,8%
1276,Morehead State University,"For Sports Fans, State School","$51,800 ","$86,900 ",57%,9%
1280,Mount Saint Joseph University,"Private School, Religious","$55,400 ","$86,800 ",54%,5%
1280,University of North Alabama,State School,"$51,400 ","$86,800 ",55%,6%
1282,Wilmington College,"Private School, Religious","$51,500 ","$86,700 ",59%,6%
1282,Milligan University,"Private School, Religious","$51,500 ","$86,700 ",78%,10%
1282,Mount Mary University,"Private School, Religious","$53,900 ","$86,700 ",48%,4%
1282,Colorado Christian University,"Private School, Religious","$59,000 ","$86,700 ",73%,3%
1282,Madonna University,"Private School, Religious","$55,300 ","$86,700 ",63%,3%
1287,Warner Pacific University,"Private School, Religious","$57,100 ","$86,600 ",69%,4%
1287,West Virginia State University,"Liberal Arts School, State School","$48,700 ","$86,600 ",50%,8%
1287,Davis & Elkins College,"Liberal Arts School, Private School, Religious","$45,500 ","$86,600 ",49%,7%
1290,Ottawa University-Online,"Private School, Religious","$55,300 ","$86,500 ",-,6%
1290,Wayne State College,State School,"$50,100 ","$86,500 ",58%,10%
1290,Tabor College,"Private School, Religious","$51,400 ","$86,500 ",63%,9%
1293,Barton College,"Private School, Religious","$49,800 ","$86,400 ",62%,5%
1293,Regent University,"Private School, Research University","$51,900 ","$86,400 ",62%,1%
1293,Averett University,"Private School, Religious","$51,700 ","$86,400 ",62%,1%
1293,Aquinas College,"Private School, Religious","$52,500 ","$86,400 ",45%,9%
1297,Cazenovia College,Private School,"$48,900 ","$86,200 ",40%,4%
1297,Norfolk State University,"For Sports Fans, State School","$54,400 ","$86,200 ",62%,17%
1297,University of Montevallo,State School,"$47,700 ","$86,200 ",51%,6%
1300,Herzing University-Madison,Private School,"$61,400 ","$86,100 ",54%,4%
1300,Lander University,State School,"$50,400 ","$86,100 ",55%,11%
1300,Seminole State College of Florida,State School,"$58,300 ","$86,100 ",49%,14%
1303,Limestone University,Private School,"$50,900 ","$86,000 ",63%,15%
1304,Bethel University (Indiana),"Private School, Religious","$54,900 ","$85,900 ",54%,6%
1304,Spring Arbor University,"Private School, Religious","$50,300 ","$85,900 ",64%,1%
1304,McPherson College,"Private School, Religious","$53,400 ","$85,900 ",51%,11%
1307,University of Rio Grande,Private School,"$51,200 ","$85,800 ",52%,9%
1307,Universidad Adventista de las Antillas,"Private School, Religious","$53,300 ","$85,800 ",-,6%
1307,Midland University,"Private School, Religious","$55,400 ","$85,800 ",65%,6%
1310,University of Massachusetts Global,Private School,"$54,300 ","$85,700 ",43%,1%
1311,Calumet College of Saint Joseph,"Private School, Religious","$52,500 ","$85,600 ",56%,0%
1311,Huntington University,"Private School, Religious","$48,700 ","$85,600 ",64%,4%
