Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
119,University of Washington-Seattle Campus,"Research University, For Sports Fans, State School","$77,100 ","$136,800 ",51%,37%
120,Binghamton University,"Research University, For Sports Fans, State School","$73,400 ","$136,600 ",44%,37%
121,University of Colorado Boulder,"Research University, For Sports Fans, State School","$71,500 ","$136,500 ",48%,39%
122,Wittenberg University,"Liberal Arts School, Private School, Religious","$60,900 ","$136,200 ",62%,17%
123,Polytechnic University of Puerto Rico-Miami,"Business, Private School","$76,200 ","$136,100 ",66%,42%
124,Virginia Polytechnic Institute and State University,"Research University, For Sports Fans, State School","$77,600 ","$136,000 ",47%,42%
125,Michigan Technological University,"Engineering, Research University, State School","$80,300 ","$135,600 ",46%,75%
126,Hofstra University,"Private School, Research University, For Sports Fans","$68,200 ","$135,400 ",42%,8%
126,Whitman College,"Liberal Arts School, Private School","$68,400 ","$135,400 ",48%,38%
128,University of St Thomas (Minnesota),"Private School, Religious, Research University","$70,100 ","$135,200 ",48%,25%
129,Milwaukee School of Engineering,"Engineering, Private School","$81,700 ","$135,100 ",46%,67%
129,Providence College,"Private School, Religious, For Sports Fans","$71,900 ","$135,100 ",48%,11%
131,Menlo College,"Business, Private School","$75,700 ","$135,000 ",49%,0%
132,University of Maryland-College Park,"Research University, For Sports Fans, State School","$76,500 ","$134,700 ",49%,40%
133,Capitol Technology University,"Engineering, Private School","$87,700 ","$134,600 ",62%,88%
134,William & Mary,"Research University, For Sports Fans, State School","$72,000 ","$134,200 ",42%,19%
135,Wellesley College,"Liberal Arts School, Private School","$76,900 ","$134,100 ",47%,35%
136,Pace University,"Private School, Research University","$70,600 ","$134,000 ",45%,13%
136,University of Puget Sound,"Liberal Arts School, Private School","$67,500 ","$134,000 ",45%,18%
136,Wentworth Institute of Technology,"Engineering, Private School","$78,100 ","$134,000 ",56%,54%
139,Brigham Young University,"Private School, Religious, Research University, Sober School, For Sports Fans","$71,700 ","$133,900 ",59%,30%
139,California State Polytechnic University-Pomona,State School,"$71,100 ","$133,900 ",50%,29%
141,Westmont College,"Liberal Arts School, Private School, Religious","$65,700 ","$133,600 ",55%,17%
141,University of San Francisco,"Private School, Religious, Research University, For Sports Fans","$73,600 ","$133,600 ",55%,12%
143,Gonzaga University,"Private School, Religious, For Sports Fans","$72,800 ","$133,500 ",48%,19%
144,Tulane University of Louisiana,"Party School, Private School, Research University, For Sports Fans","$69,600 ","$133,200 ",46%,22%
145,Hobart William Smith Colleges,"Liberal Arts School, Private School","$67,200 ","$132,900 ",48%,17%
145,University of Washington-Bothell Campus,State School,"$75,900 ","$132,900 ",55%,34%
145,Lawrence Technological University,"Engineering, Private School","$69,200 ","$132,900 ",46%,56%
148,Miami University-Oxford,"Research University, For Sports Fans, State School","$69,100 ","$132,800 ",46%,21%
148,University of the Pacific,"Private School, Research University, For Sports Fans","$72,900 ","$132,800 ",60%,15%
150,Drexel University,"Private School, Research University, For Sports Fans","$76,100 ","$132,600 ",48%,27%
150,Clark University,"Private School, Research University","$64,900 ","$132,600 ",53%,27%
150,Massachusetts Maritime Academy,State School,"$81,000 ","$132,600 ",53%,38%
153,Kenyon College,"Liberal Arts School, Private School","$66,700 ","$132,500 ",57%,22%
154,Citadel Military College of South Carolina,"For Sports Fans, State School","$72,100 ","$132,300 ",66%,22%
155,CUNY Bernard M Baruch College,"Business, Sober School, State School","$71,500 ","$132,100 ",41%,13%
156,California State University-Chico,State School,"$69,000 ","$132,000 ",50%,13%
156,University of California-Santa Cruz,"Research University, State School","$73,200 ","$132,000 ",50%,44%
158,Saint Johns University,"Liberal Arts School, Private School, Religious","$71,700 ","$131,700 ",51%,25%
159,South Dakota School of Mines and Technology,"Engineering, State School","$79,800 ","$131,500 ",61%,94%
160,Ursinus College,"Engineering, Liberal Arts School, Private School","$64,900 ","$131,400 ",62%,52%
160,Southern California Institute of Architecture,Private School,"$65,600 ","$131,400 ",73%,0%
162,St Lawrence University,"Liberal Arts School, Party School, Private School","$68,700 ","$130,900 ",49%,25%
163,The New School,"Private School, Research University","$67,700 ","$130,700 ",37%,9%
164,Susquehanna University,"Liberal Arts School, Private School, Religious","$62,400 ","$130,600 ",38%,22%
164,Trinity University,"Private School, Religious","$65,200 ","$130,600 ",46%,26%
166,Northeastern University,"Engineering, Private School, Research University, For Sports Fans","$79,000 ","$130,300 ",47%,55%
167,Syracuse University,"Party School, Private School, Research University, For Sports Fans","$72,000 ","$130,100 ",45%,27%
168,California College of the Arts,Private School,"$77,000 ","$129,900 ",46%,6%
168,American University,"Private School, Religious, Research University, For Sports Fans","$68,400 ","$129,900 ",46%,4%
170,University of Richmond,"Liberal Arts School, Private School, For Sports Fans","$72,600 ","$129,800 ",48%,15%
171,Stony Brook University,"Research University, For Sports Fans, State School","$72,400 ","$129,700 ",48%,35%
171,University of Puerto Rico-Mayaguez,"Engineering, State School","$78,700 ","$129,700 ",58%,56%
171,University of Denver,"Private School, Research University, For Sports Fans","$69,100 ","$129,700 ",46%,13%
174,The Catholic University of America,"Private School, Religious, Research University","$69,700 ","$129,500 ",53%,15%
174,Kalamazoo College,"Liberal Arts School, Private School","$63,300 ","$129,500 ",52%,39%
176,Ithaca College,Private School,"$64,400 ","$129,400 ",43%,7%
176,Wofford College,"Liberal Arts School, Private School, Religious, For Sports Fans","$63,700 ","$129,400 ",48%,30%
